cell_id,test_id,channel,barcode,source_category,mapping_count,batch_id,table9_status,mapping_result
b1c22,5c86c154fa2ede00015de007,31,EL150800460433,known_early_terminated,1,5c86c0b5fa2ede00015ddf67,not_listed,PASS
b1c23,5c86c11ffa2ede00015ddfd5,32,EL150800460477,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c24,5c86c0f4fa2ede00015ddfa3,25,EL150800460630,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c25,5c86c19cfa2ede00015de043,26,EL150800460617,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c26,5c86c0fcfa2ede00015ddfad,33,EL150800460659,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c27,5c86c0c6fa2ede00015ddf7b,34,EL150800463198,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c28,5c86c145fa2ede00015ddff3,27,EL150800460507,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c29,5c86c257fa2ede00015de0ed,28,EL150800460644,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c30,5c86c1b9fa2ede00015de061,35,EL150800460615,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c31,5c86c0bdfa2ede00015ddf71,36,EL150800460481,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c32,5c86c238fa2ede00015de0cf,29,EL150800460640,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c33,5c86c1e1fa2ede00015de089,30,EL150800460436,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c34,5c86c164fa2ede00015de01b,39,EL150800460525,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c35,5c86c115fa2ede00015ddfcb,40,EL150800460622,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c36,5c86c0ccfa2ede00015ddf85,37,EL150800460506,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c37,5c86c230fa2ede00015de0c5,38,EL150800460601,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c38,5c86c288fa2ede00015de11f,41,EL150800453773,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c39,5c86c23dfa2ede00015de0d9,42,EL150800460642,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c40,5c86c15dfa2ede00015de011,43,EL150800463229,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c41,5c86c1ebfa2ede00015de093,44,EL150800460647,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c42,5c86c10efa2ede00015ddfc1,45,EL150800460618,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c43,5c86c1b2fa2ede00015de057,46,EL150800460636,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c44,5c86c26bfa2ede00015de101,47,EL150800460485,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
b1c45,5c86c14bfa2ede00015ddffd,48,EL150800460656,official_cycle_life_eol_candidate,1,5c86c0b5fa2ede00015ddf67,true,PASS
