cell_id,barcode,v11_current_provenance,audit_semantic_class,raw_cycle_count,stored_batch1_cycle_life,stored_eq_raw_count_plus_1,supp_table9_cycle_life,supp_table9_match,final_qdischarge_ah,min_qdischarge_after_missing_cycle1_ah,trailing5_median_ah,trailing11_median_ah,measured_crossing_after_missing_cycle1
b1c29,EL150800460644,right_censored,official_cycle_life_eol_candidate,916,917,1,917,true,0.880353750,0.880353750,0.882204290,0.884706380,0
b1c30,EL150800460615,right_censored,official_cycle_life_eol_candidate,708,709,1,709,true,0.880542870,0.880542870,0.883102600,0.887347220,0
b1c31,EL150800460481,right_censored,official_cycle_life_eol_candidate,875,876,1,876,true,0.880992230,0.880992230,0.883542660,0.887059510,0
b1c32,EL150800460640,right_censored,official_cycle_life_eol_candidate,730,731,1,731,true,0.880809070,0.880225240,0.881977500,0.885838030,0
b1c33,EL150800460436,right_censored,official_cycle_life_eol_candidate,756,757,1,757,true,0.880112290,0.880112290,0.881611590,0.884617510,0
b1c34,EL150800460525,right_censored,official_cycle_life_eol_candidate,741,742,1,742,true,0.882054450,0.882054450,0.885375080,0.889049710,0
b1c35,EL150800460622,right_censored,official_cycle_life_eol_candidate,702,703,1,703,true,0.880239900,0.880239900,0.882779780,0.886438850,0
b1c36,EL150800460506,right_censored,official_cycle_life_eol_candidate,703,704,1,704,true,0.882318020,0.882318020,0.884611670,0.886881170,0
b1c37,EL150800460601,right_censored,official_cycle_life_eol_candidate,647,648,1,648,true,0.883363190,0.883363190,0.885942580,0.889517720,0
b1c38,EL150800453773,right_censored,official_cycle_life_eol_candidate,616,617,1,617,true,0.881109420,0.881109420,0.882684110,0.886505600,0
b1c39,EL150800460642,right_censored,official_cycle_life_eol_candidate,624,625,1,625,true,0.880110740,0.880110740,0.882673560,0.886382820,0
b1c40,EL150800463229,right_censored,official_cycle_life_eol_candidate,965,966,1,966,true,0.880609510,0.880609510,0.882415060,0.886001290,0
b1c41,EL150800460647,right_censored,official_cycle_life_eol_candidate,1050,1051,1,1051,true,0.881061610,0.881061610,0.883909820,0.884657620,0
b1c42,EL150800460618,right_censored,official_cycle_life_eol_candidate,701,702,1,702,true,0.880351420,0.880351420,0.882163050,0.885439750,0
b1c43,EL150800460636,right_censored,official_cycle_life_eol_candidate,650,651,1,651,true,0.880444350,0.880444350,0.882875920,0.886393850,0
b1c44,EL150800460485,right_censored,official_cycle_life_eol_candidate,615,616,1,616,true,0.880483090,0.880483090,0.882821440,0.885782180,0
b1c45,EL150800460656,right_censored,official_cycle_life_eol_candidate,598,599,1,599,true,0.881042120,0.881042120,0.883173110,0.887244700,0
